Name,Ticker,Sector,Category
A.O. Smith,AOS,Industrials,Dividend Aristocrat
Abbott Laboratories,ABT,Health Care,Dividend Aristocrat
AbbVie,ABBV,Health Care,Dividend Aristocrat
AFLAC,AFL,Financials,Dividend Aristocrat
Air Products & Chemicals,APD,Materials,Dividend Aristocrat
Albemarle Corporation,ALB,Materials,Dividend Aristocrat
Amcor,AMCR,Materials,Dividend Aristocrat
Archer-Daniels-Midland Co,ADM,Consumer Staples,Dividend Aristocrat
Atmos Energy Corp,ATO,Utilities,Dividend Aristocrat
Automatic Data Processing,ADP,Information Technology,Dividend Aristocrat
Becton Dickinson & Co,BDX,Health Care,Dividend Aristocrat
Brown & Brown Inc.,BRO,Financials,Dividend Aristocrat
Brownâ€“Forman (class B),BF.B,Consumer Staples,Dividend Aristocrat
Cardinal Health Inc,CAH,Health Care,Dividend Aristocrat
Caterpillar Inc,CAT,Industrials,Dividend Aristocrat
C.H. Robinson,CHRW,Industrials,Dividend Aristocrat
Chevron Corp,CVX,Energy,Dividend Aristocrat
Chubb Limited,CB,Financials,Dividend Aristocrat
Church & Dwight,CHD,Consumer Staples,Dividend Aristocrat
Cincinnati Financial Corp,CINF,Financials,Dividend Aristocrat
Cintas Corp,CTAS,Industrials,Dividend Aristocrat
Clorox,CLX,Consumer Staples,Dividend Aristocrat
Coca-Cola Co,KO,Consumer Staples,Dividend Aristocrat
Colgate-Palmolive,CL,Consumer Staples,Dividend Aristocrat
Consolidated Edison Inc,ED,Utilities,Dividend Aristocrat
Dover Corp,DOV,Industrials,Dividend Aristocrat
Ecolab Inc,ECL,Materials,Dividend Aristocrat
Emerson Electric,EMR,Industrials,Dividend Aristocrat
Erie Indemnity,ERIE,Financials,Dividend Aristocrat
Eversource Energy,ES,Energy,Dividend Aristocrat
Essex Property Trust,ESS,Real Estate,Dividend Aristocrat
Expeditors International of Washington,EXPD,Industrials,Dividend Aristocrat
Exxon Mobil Corp,XOM,Energy,Dividend Aristocrat
FactSet Research Systems,FDS,Financials,Dividend Aristocrat
Fastenal,FAST,Industrials,Dividend Aristocrat
Federal Realty Investment Trust,FRT,Real Estate,Dividend Aristocrat
Franklin Resources Inc,BEN,Financials,Dividend Aristocrat
General Dynamics,GD,Industrials,Dividend Aristocrat
Genuine Parts Company,GPC,Consumer Discretionary,Dividend Aristocrat
Hormel Foods Corp,HRL,Consumer Staples,Dividend Aristocrat
Illinois Tool Works,ITW,Industrials,Dividend Aristocrat
IBM,IBM,Information Technology,Dividend Aristocrat
The J. M. Smucker Company,SJM,Consumer Staples,Dividend Aristocrat
Johnson & Johnson,JNJ,Health Care,Dividend Aristocrat
"Kenvue, Inc.",KVUE,Consumer Staples,Dividend Aristocrat
Kimberly-Clark,KMB,Consumer Staples,Dividend Aristocrat
Linde plc,LIN,Materials,Dividend Aristocrat
Lowe's,LOW,Consumer Discretionary,Dividend Aristocrat
McCormick & Company,MKC,Consumer Staples,Dividend Aristocrat
McDonald's Corp,MCD,Consumer Discretionary,Dividend Aristocrat
Medtronic plc,MDT,Health Care,Dividend Aristocrat
NextEra Energy,NEE,Utilities,Dividend Aristocrat
Nordson Corp,NDSN,Industrials,Dividend Aristocrat
Nucor Corp,NUE,Materials,Dividend Aristocrat
Pentair,PNR,Industrials,Dividend Aristocrat
PepsiCo,PEP,Consumer Staples,Dividend Aristocrat
PPG Industries,PPG,Materials,Dividend Aristocrat
Procter & Gamble,PG,Consumer Staples,Dividend Aristocrat
Realty Income,O,Real Estate,Dividend Aristocrat
Roper Technologies,ROP,Industrials,Dividend Aristocrat
S&P Global Inc,SPGI,Financials,Dividend Aristocrat
Sherwin-Williams,SHW,Materials,Dividend Aristocrat
Stanley Black & Decker,SWK,Industrials,Dividend Aristocrat
Sysco Corp,SYY,Consumer Staples,Dividend Aristocrat
T Rowe Price Group Inc,TROW,Financials,Dividend Aristocrat
Target Corp,TGT,Consumer Discretionary,Dividend Aristocrat
W. W. Grainger,GWW,Industrials,Dividend Aristocrat
Walmart Inc.,WMT,Consumer Staples,Dividend Aristocrat
West Pharmaceutical Services,WST,Health Care,Dividend Aristocrat
