Ticker,Name,Category
CMI,CUMMINS INC,Growth
BKWAF,BKW AG,Growth
SPHRY,STARPHARMA HOLDINGS-SPON ADR,Growth
GARLF,AXCAP VENTURES INC,Growth
TSMRF,TSUMURA & CO,Growth
LHX,L3HARRIS TECHNOLOGIES INC,Growth
MILC,MILLENNIUM SUSTAIN VENT CORP,Growth
EMLZF,EMMI AG-REG,Growth
ZTARF,ZETA RESOURCES LTD,Growth
HIDE,ALPHA ARC HIGH INF & DEF ETF,Growth
SKM,SK TELECOM CO LTD-SPON ADR,Growth
SMDPY,SUMITOMO PHARMA CO LTD-ADR,Growth
SAPGF,SAP SE,Growth
RSBT,RTRN STCK BNDS & MNG FUTURES,Growth
MDTC,MEDIA TECHNOLOGIES INC,Growth
MSCI,MSCI INC,Growth
SBND,COLUMBIA SHORT DURATION BOND,Growth
TALKW,HUDSON EXECUTIVE INV -CW25,Growth
RRYES,RSE ARCHIVE INT SER-CATCHER,Growth
ACI,ALBERTSONS COS INC - CLASS A,Growth
OKIEY,OKI ELECTRIC IND CO-UNS ADR,Growth
SNYYF,SANY HEAVY EQUIPMENT INTL,Growth
SPSM,SPDR PORTFOLIO S&P 600 SMALL,Growth
ARZGY,ASSICURAZIONI GEN-UNSPON ADR,Growth
GEO,GEO GROUP INC/THE,Growth
JBHHY,JB HI-FI LTD-UNSPONSORED ADR,Growth
VOTE,TCW TRANSFORM 500 ETF,Growth
ISGVF,ISHARES INDIA INR GOVT BOND,Growth
MGIMF,VERVE GROUP SE,Growth
HRL,HORMEL FOODS CORP,Growth
LVRLF,CORDOVACANN CORP,Growth
BIGY,YLDM TART 12 SMICD OPT I ETF,Growth
AVSE,AVANTIS RESP EMERG MKTS EQ-E,Growth
COMP,COMPASS INC - CLASS A,Growth
FTCGF,FIRST TRUST CLOUD COMPUTING,Growth
WACLF,WACOAL HOLDINGS CORP,Growth
XDAT,FRANKLIN EXPONENTIAL DATA,Growth
RFNDF,RURAL FUNDS TRUST,Growth
IHRPF,ISHARES CHINA LARGE CAP,Growth
FXR,FIRST TRUST INDST/PRODUCERS,Growth
RSWHS,RSE COLLECTION SER#WARHOL1,Growth
ONCSQ,ONCOSEC MEDICAL INC,Growth
GRNH,GREENGRO TECHNOLOGIES INC,Growth
NCDL,NUVEEN CHURCHILL DIRECT LEND,Growth
VCVOF,VINACAPITAL VIETNAM OPPORTUN,Growth
SLDX,STELLA DIAGNOSTICS INC,Growth
PFFA,VIRTUS INFRACAP US PREF STCK,Growth
IOKIF,ITOKI CORP,Growth
ABVEW,ABOVE FOOD INGREDIENTS- 29,Growth
SUFF,OPHIR RESOURCES CO,Growth
KBNC,KINGSTON BANCSHARES INC,Growth
DMDD,DIAMOND DISCOVERIES INTL COR,Growth
GTLA,GT LEGEND AUTOMOTIVE HOLDING,Growth
PRLH,Pearl Holdings Acquisition Corporation,Growth
CTCK,COATTEC INDUSTRIES INC,Growth
MGCOF,MIDEA GROUP CO LTD,Growth
NICE,NICE LTD - SPON ADR,Growth
TTNDF,TECHTRONIC INDUSTRIES CO LTD,Growth
GIFOF,GRIFOLS SA - B,Growth
WHLR,WHEELER REAL ESTATE INVESTME,Growth
FLST,FUELSTREAM INC,Growth
SCWTF,SCHWEITER TECHNOLOGIES AG,Growth
GSID,GOLDMAN SACHS MARKETBETA INT,Growth
FTRI,FIRST TRUST INDXX GLOBAL NAT,Growth
GTMLF,GREEN TECHNOLOGY METALS LTD,Growth
JWSWF,JAWS MUSTANG ACQ C -CW26,Growth
BSTO,BLUE STAR OPPORTUNITIES CORP,Growth
BELGF,BELLEVUE GOLD LTD,Growth
TCVNF,TOCVAN VENTURES CORP,Growth
HIVE,HIVE DIGITAL TECHNOLOGIES LT,Growth
GNRD,GENERAL DATACOMM INDUSTRIES,Growth
MCOMW,HELBIZ INC-CW24,Growth
SOQDQ,SONDE RESOURCES CORP,Growth
PBD,INVESCO GLOBAL CLEAN ENERGY,Growth
CLMHF,CALGRO M3 HOLDINGS LTD,Growth
HJGP,HANJIAO GROUP INC,Growth
SBI,WESTERN ASSET INTERMEDIATE,Growth
GRID,FIRST TRST NASD CL EDG SGIIF,Growth
ATER,ATERIAN INC,Growth
FNBT,FINEMARK HOLDINGS INC,Growth
QBUF,INNV NASDAQ -100 10 B - QRT,Growth
TTSH,TILE SHOP HLDGS INC,Growth
LEMB,ISHARES JP MORGAN EM LOCAL C,Growth
CAPNR,CAYSON ACQUISITION CORP,Growth
RSPA,INVESCO S&P 500 EW INCOME AD,Growth
ELYS,ELYS BMG GROUP INC,Growth
JKHY,JACK HENRY & ASSOCIATES INC,Growth
CLVR,CLEVER LEAVES HOLDINGS INC,Growth
GUOSF,GUOTAI JUNAN SECURITIES CO-H,Growth
SANT,SANTEON GROUP INC,Growth
MTH,MERITAGE HOMES CORP,Growth
HBT,HBT FINANCIAL INC/DE,Growth
RGAKF,RIGAKU HOLDINGS CORP,Growth
CHKP,CHECK POINT SOFTWARE TECH,Growth
INTEW,INTEGRAL ACQUISITION -CW28,Growth
MOMO,HELLO GROUP INC -SPN ADR,Growth
TATYY,TATE & LYLE PLC-SPONS ADR,Growth
EPU,ISHARES MSCI PERU AND GLOBAL,Growth
LSMLF,LODESTAR MINERALS LTD,Growth
ICABY,I-CABLE COMMUNICATIONS-ADR,Growth
OSCR,OSCAR HEALTH INC - CLASS A,Growth
DIHP,DIMENSIONAL INTERNATIONAL HI,Growth
UOKA,MDJM LTD,Growth
JWEL,JOWELL GLOBAL LTD,Growth
LNSHS,LANDA APP LLC INT SER 8678,Growth
ICDXF,ISHARES CANADIAN REAL RETURN,Growth
FDTX,FIDELITY DISRUPTIVE TECH ETF,Growth
OBDC,BLUE OWL CAPITAL CORP,Growth
CURN,CURRENCY EXCHANGE INTERNATIO,Growth
SSST,SMARTSTOP SELF STORAGE REIT,Growth
PMDRF,SONORAN DESERT COPPER CORP,Growth
VOOG,VANGUARD S&P 500 GROWTH ETF,Growth
SPFHF,SINGAPORE FOOD HOLDINGS LTD,Growth
LOVE,LOVESAC CO/THE,Growth
IMMR,IMMERSION CORPORATION,Growth
SMTOY,SUMITOMO ELEC INDS-UNSP ADR,Growth
TFLO,ISHARES TREASURY FLOATING RA,Growth
WDLF,DECENTRAL LIFE INC,Growth
SKIGF,SANKI ENGINEERING CO LTD,Growth
PDD,PDD HOLDINGS INC,Growth
ACJJF,ACOM CO LTD,Growth
MEJHF,MEIJI HOLDINGS CO LTD,Growth
CNTA,CENTESSA PHARMACEUTICALS-ADR,Growth
CFFSW,CF Acquisition Corporation VII,Growth
FBNC,FIRST BANCORP/NC,Growth
AITX,ARTIFICIAL INTELLIGENCE TECH,Growth
SNRE,SUNRISE COMMUNICAT-CL A,Growth
PCRHY,PANASONIC HOLDINGS CORP,Growth
IPOAF,INDUSTRIAS PENOLES SAB DE CV,Growth
FDTB,FOUNDATIONS DYNAMIC INC ETF,Growth
KFFLF,KEFI GOLD AND COPPER PLC,Growth
THRD,THIRD HARMONIC BIO INC,Growth
CRTDW,JERRICK MEDIA HOLDINGS -CW25,Growth
KWR,QUAKER CHEMICAL CORPORATION,Growth
ALGEF,ALLIGATOR ENERGY LTD,Growth
CVLC,CALVERT US L-C CR RESP INDEX,Growth
STMDF,STARTMONDAY TECHNOLOGY CORP,Growth
XNTK,SPDR NYSE TECHNOLOGY ETF,Growth
PSCO,PROTOSOURCE CORP,Growth
WNFT,WORLDWIDE NFT INC,Growth
STCE,SCHWAB CRYPTO THEMATIC ETF,Growth
CLMT,CALUMET INC,Growth
PEXZF,PACIFIC RIDGE EXPLORATION LT,Growth
SHGDF,STAR DIAMOND CORP,Growth
BTGN,BITCOIN GENERATION INC,Growth
DUKX,OCEAN PARK INTERNATIONL ETF,Growth
PMMBF,Pembina Pipeline Corporation,Growth
COLB,COLUMBIA BANKING SYSTEM INC,Growth
BKLIF,BLOCKMINT TECHNOLOGIES INC,Growth
ESNC,ENSYNC INC,Growth
EVOA,EVO TRANSPORTATION & ENERGY,Growth
LSVD,LSV DISCIPLINED VALUE ETF,Growth
XPEL,XPEL INC,Growth
FGLDF,FALCON GOLD CORP,Growth
HGTY,HAGERTY INC-A,Growth
FPBC,FIRST PACIFIC BANCORP,Growth
SHV,ISHARES SHORT TREASURY BOND,Growth
HIPH,AMERICAN PREMIUM WATER CORP,Growth
ANTGF,ADVANTAGEWON OIL CORP,Growth
BRCFF,Brookfield Corporation,Growth
CYRX,CRYOPORT INC,Growth
ASAV,ASI AVIATION INC,Growth
LGBI,CANNABIZ MOBILE INC,Growth
AUST,AUSTIN GOLD CORP,Growth
NIPAF,NIPPON INDOSARI CORPINDO TBK,Growth
RKWAF,ROCKWOOL A/S-A SHS,Growth
MKTW,MARKETWISE INC,Growth
LMBS,FIRST TRUST LOW DURATION OPP,Growth
LAB,STANDARD BIOTOOLS INC,Growth
IYY,ISHARES DOW JONES U.S. ETF,Growth
DLEXY,DATALEX PLC-ADR,Growth
SLGYF,SAN LEON ENERGY PLC,Growth
NDMCF,NEW DESTINY MINING CORP,Growth
RF.PRC,REGIONS FINANCIAL CORP - RF 5.7 PERP,Growth
LFGY,YLDMX CRYP IN & T P OP I ETF,Growth
MJARF,MJARDIN GROUP INC,Growth
FLIDF,FLSMIDTH & CO A/S,Growth
MTNX,MELTRONIX INC,Growth
HMRRF,HAMMER METALS LTD,Growth
SLXXF,FINTECH SELECT LTD,Growth
ROIS,HARTFORD MULTI INT SM CO ETF,Growth
DTII,DEFENSE TECHNOLOGIES INTERNA,Growth
NEPH,NEPHROS INC,Growth
SSVC,SECURED SERVICES INC,Growth
RSCMS,1SE LLC SER FERRARI 348,Growth
PRZFF,BOUNDARY GOLD & COPPER MININ,Growth
DUAVF,DASSAULT AVIATION SA,Growth
MTLEF,METALS EXPLORATION PLC,Growth
KGJI,KINGOLD JEWELRY INC,Growth
RSFCS,RSE ARCHIVE LLC INT SER-1955,Growth
VGFUF,VANG USDEMGVB USDD,Growth
LYTS,LSI INDUSTRIES INC,Growth
ACNFF,ACOMO NV,Growth
DMTKQ,DERMTECH INC,Growth
SCGLY,SOCIETE GENERALE-SPONS ADR,Growth
SUHJY,SUN HUNG KAI PROP LTD-SP ADR,Growth
ATGPF,AltaGas Ltd,Growth
ONFOP,Onfolio Holdings Inc,Growth
NPNTQ,NORTHPOINT COMMUNICATIONS,Growth
DTCR,GLOBAL X DATA CENTER & DIGIT,Growth
HOUR,HOUR LOOP INC,Growth
DUOT,DUOS TECHNOLOGIES GROUP INC,Growth
IDMO,INVESCO S&P INTERNATIONAL DE,Growth
GLSHQ,GELESIS HOLDINGS INC,Growth
BDJ,BLACKROCK ENHANCED EQTY DVD,Growth
WAFU,WAH FU EDUCATION GROUP LTD,Growth
RWJ,INVESCO S&P SMALLCAP 600,Growth
MGYTF,MAGYAR TELEKOM TELECOMMUNICA,Growth
CUYTF,COLRUYT GROUP N.V,Growth
ENADF,ENAD GLOBAL 7 AB,Growth
MLGO,MICROALGO INC,Growth
BKFCF,BANK OF COMMUNICATIONS CO-H,Growth
VLCJF,VELOCITY MINERALS LTD,Growth
CUIRF,VELOX ENERGY MATERIALS INC,Growth
TRSFF,TRES-OR RESOURCES LTD,Growth
DV,DOUBLEVERIFY HOLDINGS INC,Growth
DLAKY,LUFTHANSA-SPONS ADR,Growth
ARDT,ARDENT HEALTH PARTNERS INC,Growth
PTA,COHEN & STEERS TAX-ADVANTAGE,Growth
RNWHF,RENEW HOLDINGS PLC,Growth
SFBE,SINO BIOENERGY CORP,Growth
RKVTF,RAKOVINA THERAPEUTICS INC,Growth
HKIT,HITEK GLOBAL INC-CL A,Growth
SPXCY,SINGAPORE EXCHANGE-UNSP ADR,Growth
RBTI,RED BRANCH TECHNOLOGIES INC,Growth
ETI.PR,ENTERGY TEXAS INC - ETR 5 3/8 PERP,Growth
ALLK,ALLAKOS INC,Growth
YMECF,YAMAICHI ELECTRONICS CO LTD,Growth
FNMAO,Fannie Mae,Growth
BLUMY,BLUE MOON GROUP HOL-UNSP ADR,Growth
UVXY,PROSHARES ULTRA VIX ST FUTUR,Growth
ERMG,ERECORD MANAGEMENT INC,Growth
OMMSF,OMINECA MINING & METALS LTD,Growth
USMC,PRINCIPAL US MEGA-CAP ETF,Growth
GHAV,GRAND HAVANA INC,Growth
MTAL,MAC COPPER LTD,Growth
SKPO,SKYE PETROLEUM INC,Growth
MYMH,SPDR SSGA MY2028 MUNI BOND,Growth
NNXXY,NEXITY SA - ADR UNSP,Growth
GGT.PRE,GABELLI MULTIMEDIA TRUST - GGT 5 1/8 PERP,Growth
CNRIF,CONDOR RESOURCES INC,Growth
NDENF,AFRICAN ENERGY METALS INC,Growth
TOMYF,TOMY COMPANY LTD,Growth
CDCTF,GOLDCREST CO LTD,Growth
RVRC,REVIUM RECOVERY INC,Growth
IAACF,ISHARES MSCI CHINA A,Growth
RWFRF,RENEWABLES INFRASTRUCTURE GR,Growth
SQZB,SQZ BIOTECHNOLOGIES CO,Growth
TFIN,TRIUMPH FINANCIAL INC,Growth
CTXV,CTX VIRTUAL TECHNOLOGIES INC,Growth
EVMNY,EVOLUTION MINING-UNSP ADR,Growth
CRPJY,CHINA RESOURCES-UNSPON ADR,Growth
HLFGY,HILTON FOOD GRP - UNSP ADR,Growth
BGY,BLACKROCK ENH INTL DVD TR,Growth
ENFN,ENFUSION INC - CLASS A,Growth
PGCPF,PTT GLOBAL CHEMICAL PCL-NVDR,Growth
ONGRF,ONGOLD RESOURCES LTD,Growth
BBDC,BARINGS BDC INC,Growth
IONI,I-ON DIGITAL CORP,Growth
SNLM,HOMESTEAD GOLD AND SILVER LT,Growth
PFSMF,PERFECT MEDICAL HEALTH MANAG,Growth
BCCOY,BICO GROUP AB-ADR UNSPONSORE,Growth
FBCG,FIDELITY BLUE CHIP GROWTH,Growth
AEFSF,AEFFE SPA,Growth
COOSF,CARBIOS,Growth
IEMMF,ISHR EDGE MSCI WRLD MOMENTUM,Growth
KOBCY,KOBE BUSSAN CO LTD,Growth
QBIG,INVESCO TOP QQQ ETF,Growth
COPAF,COPAUR MINERALS INC,Growth
PARAA,PARAMOUNT GLOBAL-CLASS A,Growth
IAU,ISHARES GOLD TRUST,Growth
IONGF,LITHIUM ION ENERGY LTD,Growth
VLFSF,VANGUARD LIFESTRATEGY 60 ACC,Growth
HSAI,HESAI GROUP,Growth
MAHN,MID-ATLANTIC HOME HEALTH NET,Growth
EMC,GLB X EMRG MRKT GRT CNSUMR,Growth
GDOT,GREEN DOT CORP-CLASS A,Growth
AHCHY,CONCH CEMENT-H-UNS ADR,Growth
TEZNY,TERNA SPA-UNSPONSORED ADR,Growth
HBANL,HUNTINGTON BANCSHARES - HBAN 6 7/8 PERP,Growth
CLKFF,CLARKE INC,Growth
AILLP,Ameren Illinois Company,Growth
STTFF,SMARTONE TELECOMMUNICATIONS,Growth
OPRA,OPERA LTD-ADR,Growth
AUMI,THEMES GOLD MINERS ETF,Growth
HAFC,HANMI FINANCIAL CORPORATION,Growth
OZKAP,BANK OZK - OZK 4 5/8 PERP,Growth
CRAYF,CRAYON GROUP HOLDING AS,Growth
EHPTP,Eagle Hospitality Properties Trust Inc,Growth
ODEFF,PETRICHOR ENERGY INC,Growth
SNST,SUNSET CAPITAL ASSETS INC,Growth
GIGNY,GENTING SINGAPORE-UNSPON ADR,Growth
RSVJS,RSE ARCHIVE LLC SER-11BELAIR,Growth
LNDBS,LANDA APP LLC 1910 GROVE WAY,Growth
CAPS,CAPSTONE THERAPEUTICS CORP,Growth
CORZ,CORE SCIENTIFIC INC,Growth
XENO,XENO TRANSPLANTS CORP,Growth
MCTH,MEDICAL CONNECTIONS HOLDINGS,Growth
EAUI,EAU TECHNOLOGIES INC,Growth
CHVKY,CHINA VANKE CO LTD-UNSPONADR,Growth
GLBGF,GLOBRANDS LTD,Growth
NHEL,NATURAL HEALTH FARM HOLDINGS,Growth
NCV,VIRTUS CONVERTIBLE & INCOME,Growth
BLBLF,BILIBILI INC-CLASS Z,Growth
NURE,NUVEEN SHORTTERM REIT ETF,Growth
TSMZ,DIREXION DLY TSM BEAR 1X SH,Growth
GLBS,GLOBUS MARITIME LIMITED,Growth
GMF,SPDR S&P EMERGING ASIA PACIF,Growth
IBHE,ISHARES IBONDS 2025 H/Y INC,Growth
SCYB,SCHWAB HIGH YIELD BOND ETF,Growth
FEUS,FLEXSHARES ESG & CLIMATE US,Growth
PBAJ,PETRO USA INC,Growth
PSYC,PSYC CORP,Growth
ELAN,ELANCO ANIMAL HEALTH INC,Growth
WSO.B,WATSCO INC  -CL B,Growth
SOUB,SOUTHPOINT BANCSHARES INC,Growth
LANDM,GLADSTONE LAND CORP - LAND 5 01/31/26,Growth
BLDG,CAMBRIA GLOBAL REAL ESTATE,Growth
LNDOS,LANDA APP LLC,Growth
AHLJS,RSE ARCHIVE SER-13GIANNIS,Growth
CLPE,CLEAR PEAK ENERGY INC,Growth
IVST,INNOVEST GLOBAL INC,Growth
NTTIF,NOVATTI GROUP LTD,Growth
EWU,ISHARES MSCI UNITED KINGDOM,Growth
REAC,REAC GROUP INC,Growth
AYLNF,AYALON INSURANCE COMPANY LTD,Growth
CSCMY,COSCO SHIPPING INTERNAT-ADR,Growth
SSOLF,FIGMENT SOLANA PLUS SR ETP,Growth
CZGZF,COLT CZ GROUP SE,Growth
CHMI.PRB,CHERRY HILL MTG INV CORP - CHMI 10.2094 PERP,Growth
CGIB,CAP GROUP INTL BOND HDG,Growth
HGGG,HHGREGG INC,Growth
CPWIF,CHINA POWER INTERNATIONAL,Growth
OVV,OVINTIV INC,Growth
RTOXF,ROTORK PLC,Growth
ILPT,INDUSTRIAL LOGISTICS PROPERT,Growth
GOAU,US GLB GLD & METAL MNRS ETF,Growth
VNSE,NATIXIS VAUGHN NELSON SELECT,Growth
SGLA,SINO GREEN LAND CORP,Growth
AHT.PRD,ASHFORD HOSPITALITY TRUS - AHT 8.45 PERP,Growth
DEFG,GRAYSCALE DECENTRALIZED FINA,Growth
GEGCF,GREAT EAGLE GOLD CORP,Growth
AEMLF,AURORA ENERGY METALS LTD,Growth
XLY,CONSUMER DISCRETIONARY SELT,Growth
VSSPY,VALID SOLUCOES SA-SP ADR,Growth
DBEF,XTRACKERS MSCI EAFE HEDGED E,Growth
AWR,AMERICAN STATES WATER CO,Growth
TIANF,TIANNENG POWER INTL LTD,Growth
URTY,PROSHARES ULTRAPRO RUSS2000,Growth
SBIG,SPRINGBIG HOLDINGS INC,Growth
ORKA,ORUKA THERAPEUTICS INC,Growth
SPBTF,SPDR BBG 10+ US TREASURY,Growth
BHSIF,BAYHORSE SILVER INC,Growth
SPEV,SHOREPOWER TECHNOLOGIES INC,Growth
PPLFF,PP LONDON SUMATRA INDONES PT,Growth
WYGPY,WORLEY LTD-UNSPON ADR,Growth
ENGQF,ENGIE,Growth
PRMNF,PRIME MINING CORP,Growth
PFBC,PREFERRED BANK/LOS ANGELES,Growth
AYYLF,AYALA CORPORATION,Growth
BMMPF,BMO EQUAL WEIGHT BANKS INDEX,Growth
CHTM,CHATHAM CORP,Growth
BSCU,INVESCO BULLETSHARES 2030 CB,Growth
FTDR,FRONTDOOR INC,Growth
ESGFF,ORA BANDA MINING LTD,Growth
YLDGY,YANLORD LAND GROUP-UNSP ADR,Growth
HNTIF,HUNTING PLC,Growth
BDUUY,BANGKOK DUSIT MED -UNSP ADR,Growth
LNAAS,LANDA APP LLC 8691 ASHLEYWAY,Growth
BANC,BANC OF CALIFORNIA INC,Growth
RGLXF,RTL GROUP,Growth
ELMUF,ELISA OYJ,Growth
SPWUF,SPDR WORLD UTILITIES,Growth
GDDFF,GOODFOOD MARKET CORP,Growth
APLU,ALLSPRING CORE PLUS ETF,Growth
RBXXS,RSE ARCHIVE LLCINTSER-ROCKET,Growth
HKMPY,HIKMA PHARMACEUTICAL-SPN ADR,Growth
NNOX,NANO-X IMAGING LTD,Growth
KBNTW,KUBIENT INC-CW25,Growth
HWKRF,EARTHWISE MINERALS CORP,Growth
BFRIW,BIOFRONTERA INC -CW26,Growth
MTOMF,FIRST GROWTH FUNDS LTD,Growth
NAMSW,NEWAMSTERDAM PHARMA CO NV-27,Growth
POLEW,ANDRETTI ACQUISITION CORP-29,Growth
STAX,MACQUARIE TAX-FREE US ST ETF,Growth
CHGX,AXS CHANGE FINANCE ESG ETF,Growth
CMXHF,CSL LTD,Growth
SIMA,SIM ACQUISITION CORP I-A,Growth
ADVOF,ADTRAN NETWORKING SE,Growth
HLFN,HOME LOAN FINANCIAL CORP,Growth
SNPD,XTRACKERS S&P DIVIDEND ARIST,Growth
ALRS,ALERUS FINANCIAL CORP,Growth
MCHX,MARCHEX INC-CLASS B,Growth
FRCIL,First Republic Bank,Growth
MPB,MID PENN BANCORP INC,Growth
RSLS,RESHAPE LIFESCIENCES INC,Growth
KNYJY,KONE OYJ-B-UNSPONSORED ADR,Growth
SZLSF,STAGEZERO LIFE SCIENCES LTD,Growth
STGZ,STARGAZE ENTERTAINMENT GROUP,Growth
TYIBF,TURKIYE IS BANKASI-C,Growth
BYSI,BEYONDSPRING INC,Growth
PLLIF,PIRELLI & C SPA,Growth
AFB,ALLIANCEBERSTEIN NTL MUNI,Growth
BBUC,BROOKFIELD BUSINESS-CL A,Growth
ITTSF,INVESCO US TECHNOLOGY S&P,Growth
CVM,CEL-SCI CORP,Growth
BWOFY,BW OFFSHORE - UNSP ADR,Growth
AMMPF,AMMPOWER CORP,Growth
RNSDF,RENAULT SA,Growth
EVRG,EVERGY INC,Growth
SUNS,SUNRISE REALTY TRUST INC,Growth
TVCCF,THREE VALLEY COPPER CORP,Growth
SWRBY,SWIRE PACIFIC LTD-ADR B,Growth
CVNZF,COMVITA LTD,Growth
TGAAF,TARGET GLOBAL ACQUISITION -A,Growth
HYG,ISHARES IBOXX HIGH YLD CORP,Growth
LSVCS,LANDA APP 2 LLC SER - 153,Growth
PSMJ,PACER SWAN SOS MODERATE JULY,Growth
BVHMF,VISTRY GROUP PLC,Growth
GWRS,GLOBAL WATER RESOURCES INC,Growth
FOTRF,FRONTIER REAL ESTATE INVEST,Growth
JQUA,JPMORGAN US QUALITY FACTOR,Growth
LTRBF,LATROBE MAGNESIUM LTD,Growth
UFG,UNI-FUELS HOLDINGS LTD,Growth
EGTYF,EGUANA TECHNOLOGIES INC,Growth
PREJF,PartnerRe Ltd,Growth
BAMU,BROOKSTONE ULTRASHRT BND ETF,Growth
BLFY,BLUE FOUNDRY BANCORP,Growth
ZNOG,ZION OIL & GAS INC,Growth
CCUR,CCUR HOLDINGS INC,Growth
GMINF,G MINING VENTURE CORP,Growth
QUS,SPDR MSCI USA STRATEGICFACTO,Growth
DIDAD,DISTRIBUIDORA INTERNACIONAL,Growth
NBSM,NEUBERGER BERMAN S-M CAP ETF,Growth
FXED,SOUND ENHANCED FIXED INCOME,Growth
PCMM,BBLX PRIVATE CREDIT CLO ETF,Growth
ERCTF,SPDR MSCI EUROPE CON STAPLES,Growth
GWIN,GLORYWIN ENTERTAINMENT GROUP,Growth
LGDTF,LIBERTY GOLD CORP,Growth
UXJA,FT USEQ UNCPPDACCL ETF - JAN,Growth
NWSZF,CTF SERVICES LTD,Growth
PFFEF,POOL SAFE INC,Growth
HDG,PROSHARES HEDGE REPLICAT ETF,Growth
CPKOF,AKWAABA MINING LTD,Growth
TNGL,TONOGOLD RESOURCES INC,Growth
URBT,URBAN TELEVISION NETWORK,Growth
WLY,WILEY (JOHN) & SONS-CLASS A,Growth
QULL,ETRACS 2X QUALITY FACTR TR,Growth
CRMK,CERMETEK MICROELECTRNICS INC,Growth
SOXS,DIREXION DAILY SEMI BEAR 3X,Growth
MNSB,MAINSTREET BANCSHARES INC,Growth
GFGF,GURU FAVORITE STOCKS ETF,Growth
TRCK,TRACK GROUP INC,Growth
SBDXF,SEABIRD EXPLORATION PLC,Growth
ZVZZC,,Growth
BRIF,FIS BRIGHT PORT FCS EQ ETF,Growth
WFTSF,WAVEFRONT TECHNOLOGY SOLUTIO,Growth
SBB,PROSHARES SHORT SMALLCAP600,Growth
EXCL,EXCELLERANT INC,Growth
PIHLF,SKY BLUE 11 COMPANY LTD,Growth
ADZZF,ADVANCE RESIDENCE INVESTMENT,Growth
LUMB,LUMBEE GUARANTY BANK,Growth
SIACF,STAR ASIA INVESTMENT CORPORA,Growth
NDTAF,NORTHERN DATA AG,Growth
OSCUF,JAPAN EXCHANGE GROUP INC,Growth
GBXXY,GRAND BAOXIN AUTO - UNSP ADR,Growth
ADPXF,AUDIO PIXELS HOLDINGS LTD,Growth
GJNSY,GJENSIDIGE FORSIKRING-UN ADR,Growth
VTTH,VAST SOLUTIONS INC-CL B3,Growth
SWGNF,SWATCH GROUP AG/THE-REG,Growth
ACGLO,ARCH CAPITAL GROUP LTD - ACGL 5.45 PERP,Growth
USSJF,USS CO LTD,Growth
GDL.PRC,GDL FUND - GDL 4 03/26/25,Growth
GARB,GARB OIL & POWER CORPORATION,Growth
AYRWF,AYR WELLNESS INC,Growth
TEUFF,BOX SHIPS INC,Growth
TSMTF,TSE GROWTH 250 ETF,Growth
SPDC,SPEED COMMERCE INC,Growth
ACWEF,SPD MSC ALL COU WO UC ET-USD,Growth
BCLO,ISHARES BBB-B CLO ACTIVE ETF,Growth
BSDGY,BOSIDENG INTL HLDGS-UNS ADR,Growth
YOTA,YOTTA ACQUISITION CORP,Growth
NMFCZ,NEW MOUNTAIN FINANCE COR - NMFC 8 1/4 11/15/28,Growth
RSIDF,RASA INDUSTRIES LTD,Growth
INGVF,ING GROEP NV,Growth
AIRJ,AIRJOULE TECHNOLOGIES CORP,Growth
HYS,PIMCO 0-5 YEAR H/Y CORP BOND,Growth
EXMRF,EXMAR NV,Growth
PUTRY,PTT PCL-UNSP ADR,Growth
RKUNY,RAKUTEN GROUP INC-ADR,Growth
RSCUS,RSE ARCHIVE SER-BIRKINBOR,Growth
VFUUF,VANG FTSE NA USDA,Growth
RVMD,REVOLUTION MEDICINES INC,Growth
BPYPM,BROOKFIELD PROP PFD LP - BPY 6 1/4 07/26/2081,Growth
KDAGF,KDA GROUP INC,Growth
ROM,PROSHARES ULTRA TECHNOLOGY,Growth
MNMRF,MONUMENTAL ENERGY CORP,Growth
NDMO,NUVEEN DYNAMIC MUNICIPAL OPP,Growth
JDEPY,JDE PEETS BV - UNSP ADR,Growth
PDRX,PD-RX PHARMACEUTICALS INC,Growth
